institute,field,why,expectations,level,advice,rating_value,expectations_grade,level_grade,predictions
בן גוריון,הנדסת תעשייה וניהול,"התחום מעניין, ויש אופציות עבודה רבות בסופו.","שנה א' מאוד משעממת, ובינתיים המסלול עוד לא התחיל לעניין","כמות סטודנטים מאוד גבוהה. חוץ מזה בסה""כ בסדר.","זה שזה כביכול ""מעשייה וטיול"" זה לא אומר שעושים שם פיקניק - מדעי הדשא זה לא!",7,1.0,1.0,7
בן גוריון,הנדסת תעשייה וניהול,"לאחר התלבטות ארוכה בנוגע לאיזה תואר בהנדסה כדאי ללמוד, החלטתי על הנדסת תעשייה וניהול כיוון שזוהי ההנדסה היחידה אשר משלבת בתוכה גם ניהול אנשים. כמו כן, התחום הוא רחב יותר ומאפשר ידע בהמון תחומים.","לפחות עד כה, אני מרגיש כי הידע שרכשתי הינו גבוה בהמון תחומים. דבר אשר בא לידי ביטוי קודם כל בהבנה בסיסית בשיחות עם אנשי מקצוע רבים, וכלה בתחום הידע הכללי.
יש לציין כי איני עובד עדיין במקצוע כך שאיני יכול לומר כלום על היכולות המקצועיות שרכשתי.","לרוב, הרמה היא בסדר גמור, אך כמו שבכל כלל יש יוצא מן הכלל, לעתים ישנם מרצים גם פחות טובים.","סבלנות...
ההצלחה כבר תגיע.
לא להילחץ.",7,10.0,1.0,7
בן גוריון,הנדסת תעשייה וניהול,"התלבטתי מאוד בנוגע לבחירת התואר ""המתאים"", אין מקצוע או תואר שרציתי ""מהיום שנולדתי"".... אני אדם יחסית ריאלי שצריך אתגרים ועבודה בסביבה דינאמית ובגלל זה בחרתי הנדסת תעשייה וניהול",אני מאוד מרוצה בתואר ובאוניברסיטה. אני לומדת דברים חדשים ופגשתי כאן הרבה חברים מאוד טובים,רוב המתרגלים ברמה גבוהה מאוד ורק שנה- שנתיים מעליי. בשיעור יש 70-100 סטודנטים אך בתרגול 30. כאשר יש רק מתרגל/מרצה טוב אחד והכיתות נהיות הרבה יותר צפופות,"כאן זה המקום לכל אלה שרוצים משהו משמעותי יוקרתי וטוב אך לא יודעים בדיוק מה, לאנשים ריאליים שמוכנים להשקיע",8,10.0,5.0,8
בן גוריון,הנדסת תעשייה וניהול,"כי המסלול הוא בין הטובים בתחום זה, שנותן מגוון אפשרויות תעסוקה לעתיד.",המסלול נתן לי את הכלים שרציתי שייתן לי ופתח בפניי דלתות רבות.,רמת המתרגלים היא גבוהה מאוד ברוב המקרים אך כמות הסטודנטים הן בהרצאות והן בתרגולים גבוהה מידי,"לבוא, להנות, לא לקחת את זה קשה מידי, תקופה יפה מאוד!",6,10.0,5.0,8
בן גוריון,הנדסת תעשייה וניהול,נראה לי מאוד מעניין ויעיל בעתיד,המסלול רק התחיל אז קשה לדעת,"רוב הכיתות מלאות עד 0 מקום, התירגולים כרגע ברמת מבוא בלבד",תנסה ותראה,7,1.0,5.0,7
בן גוריון,הנדסת תעשייה וניהול,"הייתה לי התלבטות בין ללמוד כלכלה לבין תעו""נ ולא הייתי סגורה במה להתמקד בדיוק ואז בחרתי במשהו כללי יותר.",לא ידעתי לפני כן שיש הרבה תכנות שזה החלק שאני פחות מתחברת אליו.,רוב מתרגלים מעולים,להשקיע הרבה ולהחזיק מעמד..:),10,5.0,10.0,8
בן גוריון,הנדסת תעשייה וניהול,"חשבתי שזו הנדסה קלילה, והעדפתי את זה על פני תארים אחרים שבן גוריון מציע","חלקית, כי הקורסים לא מספיק טובים",הכל מתנהל על הפנים ולא מקצועי,"ממולץ ללכת על התואר הזה, חייב להשקיע",5,1.0,1.0,5
בן גוריון,הנדסת תעשייה וניהול,הנני רואה בתואר זה מקדמה וידע טוב כבסיס להמשך דרכי בלימודים לתואר שני מנהל עסקים ופתיחת עסק משלי לאחר מכן . הנדסת תעשיה וניהול הינה תואר שאפשר לקחת אותו להרבה מקומות ולא סוגר לך את האפשרויות לכיוון ספציפי בלבד . הדבר שהיה מאוד חשוב לי בבחירת התואר שברצוני ללמוד.,בדיוק מה שקיוויתי שיהיה,לעיתים מבחר בין המתרגלים מצומצם ויש אילוץ ללכת למתרגל ספציפי,לבוא בראש פתוח ולהנות!! זה הכי חשוב,8,10.0,5.0,8
בן גוריון,הנדסת תעשייה וניהול,"הייתי מעוניין בלימודי הנדסה אך לא משהו כבד מידי וספציפי מידי, תעשייה וניהול נראה כמו מסלול שמשלב תחומים רבים","העומס הרבה יותר גדול ממה שציפיתי, התואר מכיל הרבה תכנות, דבר שגם לא חשבתי שיהיה במידה כזאת","בסך הכל רמת התרגולים טובה, רוב המתרגלים יודעים את עבודתם טוב","מי שאינו מתחבר לתכנות, שיידע שכן יש מספיק קורסים ועבודות תכנות בתואר כי זה לא נראה כך על פניו בהתחלה",7,5.0,10.0,7
בן גוריון,הנדסת תעשייה וניהול,"כי הבנתי שזהו תואר מאוד פרקטי ושימושי בחוץ,ושאפשר להשתלב בו בהמון תחומים והמון חברות שונות.","לא ידעתי שהמסלול יכלול ברובו קורסי תכנות ומחשבים, מקצוע שאני לא כלכך מתחברת אליו ולא מתכננת לעסוק בו בעתיד....שאר המקצועות שלמדתי השנה היו מקצועות בסיס שכמעט רובם היו מתמטיקה.","בכיצה שאמורים להיות בה 28 אנשים בתרגול , יש בפועל קרוב ל100 תלמידים, כי יש מתרגל אחד טוב מתוך 4 , ולכן כולם מגיעים אליו, נורא קשה להבין בתרגול כזה ולכן הרמה נמוכה",שיכנסו לאתר האוניברסיטה לסילבוס הקורסים ויקראו וינסו להבין האם זה באמת מעניין אותם...,5,1.0,1.0,5
בן גוריון,הנדסת תעשייה וניהול,נשמע לי מסלול לימודי מעניין שבסופו אפשרויות עבודה נרחבות יחסית,לא עברתי עדיים מספיק כדי לענות על השאלה,בסך הכל אני חושב שרוב המתרגלים ושיעורי העזר טובים מאוד,תגיע,7,5.0,10.0,7
בן גוריון,הנדסת תעשייה וניהול,"אני עושה תואר כפול מתמטיקה -תעשייה וניהול.
מאחר ומתמטיקה הינו נושא שמאוד מעניין אותי ותעשייה וניהול זה למעשה תפקיד לעתיד. יש קשר עמוק בין שני המקצועות.","מתמטיקה לא מה שציפיתי מדובר בתואר קשה מאוד, מה גם שתעשייה וניהול אינו תואר קשה אך עמוס מאוד ולכן זה הופך את הלימודים למאוד תובעניים. מאוד קשה לשלב עבודה עם זה",במתמטיקה חסרים תרגולים,להציב לעצמך מטרות ריאליות,7,1.0,1.0,7
בן גוריון,הנדסת תעשייה וניהול,רציתי תואר שפורש ידע רב.,"התואר אכן כלל ידע ומידע שציפיתי, אך שיטת הלימוד של הערמת קשיים על הסטונדטים על מנת לנרמל את הציונים זו שיטה מגוחכת.","כנ""ל.",לא ללמוד באוניברסיטת בן גוריון.,3,1.0,1.0,8
בן גוריון,הנדסת תעשייה וניהול,"רציתי ללמוד משהו ""בתחום הריאלי"", התלבטתי בין מס' מחלקות בפקולטה להנדסה ובסוף בחרתי בהנדסת תעשיה וניהול משום שהבנתי כי אוכל להתפתח לכיוונים רבים ומגוונים, וכי התואר עוסק במגוון רחב של נושאי לימוד וזה מה שמשך אותי",ישנם קורסים שאני מתחברת אליהם יותר וישנם קורסים שהתחושה האישית שלי לגביהם היא אי רלוונטיות כלל לתחום.,"רמת המתרגלים לרוב טובה משל המרצים, מבחינת היכולת להעביר את החומר הנלמד מול כיתת סטודנטים.","אלו שמגיעים מפני שהם ריאלים ורוצים ללמוד משהו מגוון, שישמרו על הישה הזו גם במהלך התואר ויהיו פתוחים רעיונית לשלל הקורסים שניתנים במחלקה. לעיתים יש תחושה של בלבול לגבי מה באמת עושים אחר כך עם התואר אבל לדעתי יש לראות בכל תחום שנגלה לעיינינו כעוד דלת שנפתחת",4,1.0,5.0,8
בן גוריון,הנדסת תעשייה וניהול,"השילוב בין הנדסה, וניהול סחף אותי למקצוע. בנוסף האחריות על שיפור תהליכים, בייחוד בסביבת מערכות מידע נשמעה לי מעניינת. המוטיב שהוביל אותי הוא עבודה עם אנשים","סה""כ מרוצה, אך עדיין יש המון ערפל. הלימודים מאוד מגוונים, ולא ממוקדים, לומדים מכל דבר קצת. דבר שמאוד חסר לי הוא העובדה שאני מהנדס שלא ""יוצר"" דבר מוחשי כמו למשל מהנדס מכונות שיכול לתכנן רכיב, או מהנדס חשמל שיכול לתכנן צ'יפים. עם זאת, המקצוע רחב ומכאן ייתרונו בכך שמשיק למגוון תחומים, ויוצר מגוון אפשרויות תעסוקה.","כמות הסטודנטים במחלקה היא מהגבוהות באוניברסיטה. עובדה זו הביאה את האוניברסיטה למצב שהיא צריכה לחלק את המחלקה לשתי תבניות, כאשר לכל תבנית תכנית לימודים הבנויה שונה. עם זאת, ישנם בעיות רבות - הצפיפות בכיתות בלתי נסבלת! כיתות מתמלאות בהמון סטודנטים, ורבים מו","הנדסת תעשייה וניהול הוא מקצוע מצויין למי שלא סגור מה ללמוד, זאת משום שמשיק למגוון תפקידים רחב בתעשייה, וכך ניתן לעבוד בין תפקידים עד שמגיעים למשרה המתאימה ביותר.",5,5.0,1.0,5
בן גוריון,הנדסת תעשייה וניהול,"מבין כל מחלקות ההנדסה, התחום אליו התחברתי הכי הרבה היה תעשייה וניהול.","הרמה גבוהה כפי שציפיתי, אך עדיין אפשרית.
בשנה הראשונה רוב הקורסים אינם קשורים כל כך לתואר ולכן לא כל כך מעניינים. אולם החל משנה שנייה יותר מעניין אך יותר קשה.","למרות שבמחלקה אצלנו יש כמות מטורפת של סטודנטים, רמת המתרגלים ושיעורי העזר הגבוהים מצליחים לתת מענה טוב לסטודנטים.","למרות שלתואר יש סטיגמה של תואר הכי פשוט מבין מחלקות ההנדסה זאת ממש לא המציאות.
לפי שבוחרים תחום תסתכלו על הקורסים הנלמדים בתואר ועל הסילבוס שלהם כך תוכלו קצת להעריך האם מתאים לכם או לא.",8,5.0,10.0,8
בן גוריון,הנדסת תעשייה וניהול,"ידעתי שאני רוצה ללמוד הנדסה ולא הייתי סגורה בידיוק על התחום, לבסוף בחרתי תעו""ן כי זהו תחום רחב",אותי אישית מסלול זה מעניין מאוד למרות שלא ידעתי לפני כן מה בידיוק החומר הנלמד,"כמות סטודנטים מטורפת בכל הרצאה, לעתים מרצה מסוים טוב יותר מאחר ואז נוצר מצב בו כל הסטודנטים מגיעים לאותה הרצאה לחץ מטורף על מקומות ישיבה ומצב בלתי אפשרי ללמוד בו. רמת המתרגלים בדרך כלל בסדר אך לדעתי יש מקצועות בהם יש להוסיף שעות תרגולים..","לדעתי בשורה התחתונה מומלץ ללמוד בבן גוריון כי בסופו של דבר בכל מוסד אקדמי יש בעיות עם המרצים, אני יודעת שרמת הלימודים בתחום ההנדסה נחשבת גבוהה מאוד ובסופו של דבר מסגלים את היכולת ללמוד לבד בכל מוסד. בנוסף גם מאוד כיף מבחינה חברתית ואיכות הסטודנטים גבוהה.",4,10.0,1.0,8
בן גוריון,הנדסת תעשייה וניהול,הלכתי ליועץ תעסוקתי שהפנה אותי בין היתר למסלול זה וכשבחנתי אותו החלטתי שזה מתאים לי,"לא ממש ידעתי מה זה בדיוק תעשיה וניהול ולכן לא היו לי יותר מידי ציפיות. מצד אחד זה נראה כמו תחום מעניין, מצד שני לא בצורה בלתי רגילה.","בחלק מהקורסים הרמה יותר גבוהה ובחלק פחות. בגלל שהרבה סטודנטים הולכים להרצאות ולתרגולים שלא רשומים אליהם, לפעמים יש צפיפות מטורפת שמפריעה","תבדקו למה אתם נכנסים כי זה יכול להיות טוב, אבל אם זה לא מתאים לכם חבל על הזמן",7,8.0,1.0,7
בן גוריון,הנדסת תעשייה וניהול,כי החלטתי שהמקצוע מתאים לי ומעניין אותי,"הצטערתי לגלות שהרבה ממה שלומדים לא קשור למקצוע ולא נצרך, ואילו על מה שחשוב לא תמיד שמים מספיק דגש",הרמה גבוהה מאוד,לא להתייאש,9,1.0,10.0,9
בן גוריון,הנדסת תעשייה וניהול,כי עיניין אותי...,המעבר מאילת היה מאכזב,רמת מתרגליםן גבוהה,"מצפה לכם עבודה קשה נקווה שהיא תשתלם בעתיד...
לימודים מעניינים",7,5.0,10.0,7
בן גוריון,הנדסת תעשייה וניהול,מכיוון שזה ממש מעניין אותי,קשה לי עם כל הקורסים של מערכות מידע שיש בתואר שהרי זה תואר להנדסה תעשייה וניהול... ומי שרוצה מערכות מידע שילך לתואר הנדסת מערכות מידע...,יש מלא סטודנטים בכיתות קטנות ותמיד רבים על מקומות,אחלה תואר....להמרות שהוא ממש עמוס,7,1.0,1.0,7
בן גוריון,הנדסת תעשייה וניהול,"המלצות מאחותי ואנשים אחרים שסבבו אותי. אני מאוד אוהבת תכנות, ויש שם לא מעט. אני חושבת שאופן הפעולה והחשיבה שלי בחיים מאוד תואמים ומסתדרים עם הנדרש ממהנדס תעשייה וניהול, אז הנחתי שאני אתחבר לתחום ועד כה, נראה כאילו הכיוון מתאים לי.","כן, מאוד מעניינים אותי המקצועות שאני לומדת, אני בסה""כ מאוד נהנית מהלימודים בתואר וחשה סיפוק.","שוב - ההתייחסות היא למתרגלים במקצועות מהמחלקה - רמתם מצויינת בעיניי. המתרגלים היו לרוב סטודנטים משנה ג'/ד' שיודעים לדבר בשפה הנכונה ולגעת בטעויות הנפוצות מתוך הבנת ה""הקהל"" שנמצא מולם. לחלוטין מקצועיים!","ללמוד בבאר שבע, להינות מכל רגע ולפנות הרבה הרבה זמן ללמידה....",9,10.0,10.0,9
בן גוריון,הנדסת תעשייה וניהול,המלצות מחברים ואנשים בתחום,"רמת הלימוד אינה תואמת את המבחנים
הסגל לא תמיד מלמד ברמה גבוהה","כמו המרצים- יש מתרגלים שקיבלו לתרגל מברירת מחדל כי הם בתואר שני, אך לא בדקו האם הם באמת יודעים להסביר וללמד טוב","לשקול טוב אם ללמוד בבאר שבע בעיקר בגלל בעיית התעסוקה- בתל אביב יהיה פחות כיף ללמוד, אבל ישנה וודאות לגבי מציאת עבודה בתחום בקלות יחסית",6,4.0,5.0,6
בן גוריון,הנדסת תעשייה וניהול,צפי רווחים גבוה,אף אחד לא טרח לספר שכשמתחילים מאילת - מאבדים כמעט שנה (שנצטרך להשלים בעתיד),רמה גבוהה וטובה,אל תעשו את זה.,8,1.0,10.0,8
בן גוריון,הנדסת תעשייה וניהול,לאחר בדיקת המקצוע המתאים שיוכל לספק פרנסה מכובדת בעתיד,יותר מידי סטטיסטיקה ופחות פרקטיקה,המתרגלים לרוב יודעים את החומר שהם צריכים להעביר ולא מעבר ישנם גם כאלה שכן יודעים ואפשר להעזר בהם במקצועות שיש צורך אמיתי בתרגולים אז אין אבל במקצועות שאין חובה לתרגול יש הרבה שעות תרגול כמות הסטודנטים בתרגולים ובהרצאה גדולה מאוד ולא מאפשרת תנאי לימוד טו,לדעת לקחת דברים קשים בפרופורציה זה לא קל,5,1.0,1.0,5
בן גוריון,הנדסת תעשייה וניהול,התואר משלב המון תחומים ולא מנקבע לתחום ספציפי.,התואר עוסק המון בתכנות ולא ציפיתי לכך.,אוו דבר,לתלכת ללמוד שם,6,7.0,1.0,6
בן גוריון,הנדסת תעשייה וניהול,מתוך רצון ללמוד משהו שיהיה פרקטי מבחינת תעסוקה ומתוך עניין,סך הכל התואר מעניין אותי.,"מתרגלים בדר""כ טובים, כמות הסטודנטים בהרצאות ובתרגולים לעיתים גדולה מדי",לקחת בקלות!,8,10.0,4.0,8
בן גוריון,הנדסת תעשייה וניהול,עניין,מעניין אך לפעמים יש קורסים שוליים ולא מעניינים,יש מקום להשתפר,"לבוא לכאן, אחלה אווירה לסטודנטים",6,3.0,10.0,6
בן גוריון,הנדסת תעשייה וניהול,עניין אותי יותר מהאחרים,"לא תמיד מעניין, מעט קורסים שבאמת מעניינים",רמת ההרצאות והתרגולים לא תואמת את מה שנבחנים עליו,"להשקיע בלימודים, להגיע עם מספיק כסף כדי לא להזדקק לעבודה במהלך הלימודים",5,5.0,1.0,5
בן גוריון,הנדסת תעשייה וניהול,עניין אותי מאוד ובנסוף יש עבודה בחוץ,תמיד יש קורסים שפחות מעניינים,ישנם מתרגלים טובים אבל אז נוצר ביקוש אליהם ומאוד צפוף,להתחיל רק כשבטוחים שזה מה שרוצים... ולבוא עם כוחות וכמובן עניין במה שלומדים,7,1.0,1.0,7
בן גוריון,הנדסת תעשייה וניהול,"לא ידעתי מה אני ממש רוצה ללמוד אך ידעתי שאני רוצה משהו.. פרקטי. אז חשבתי על תחום ההנדסות שגם מרוויחים שם טוב. מבין כל ההנדסות, הנדסת תעשייה וניהול היא הנדסה יותר עדינה, יותר ""נשית"" ועם מגוון רחב של אפשרויות עבודה. היה נראה לי שזה שילוב טוב בין משהו ריאלי ופרקטי לבין עבודה עם אנשים שגם תהיה מעניינת מבחינתי.","מן הסתם יש קורסים שמעניינים אותי פחות, ויש קורסים קשים אך ידעתי את זה כשנרשמתי ללימודים. באוקטובר אני מתחילה את השנה השלישית ללימודי ובשורה תחתונה אני מרוצה שבחרתי בתואר הזה, גם אם קשה לי הרבה פעמים..","גם פה, יש ויש.","אל תתיאשו בדרך, ותשקיעו.... :)",8,10.0,1.0,8
בן גוריון,הנדסת תעשייה וניהול,"תואר בתעשיה וניהול תואר מאוד רחב, אפשר לעבוד בשלל תחומים","התואר בשנתיים הראשונות יחסית משעמם, תפ""י בבן גוריון זה קורסים מאוד מאוד קשים, למי שאין תפיסה קומבינטורית בכלל וכן, יכולת הבנה בסיסית של רקורסיה - אולי כדאי לוותר...","זה ממש משתנה בין מרצה למרצה. חשוב להבין שבאנו ללמוד, ואף אחד לא שש לתת הנחות.","לחשוב טוב טוב כמה רוצים להיות כל כך רחוק (ב""ש רחוקה מכל מקום)
עלויות הנסיעה עולות הרבה כסף אז חשוב לחשוב על זה,
וכן האם צריך לעבוד במהלך התואר(ברמת ה-חייב) אולי כדאי תל אביב או טכניון...",5,1.0,1.0,5
בן גוריון,הנדסת תעשייה וניהול,נשמע לי מעניין ומתאים לתחומי העניין שלי,הקורסים מעניינים ורלווטנים לתחומי העיסוק שלי,משתנה בין הקורסים,"למתלבטים - לשמוע דעות של כל מיני אנשים, משנים שונות, אולי מכאלה שלא מכירים בכלל כדי שיהיה אובייקטיבי",5,9.0,5.0,8
בן גוריון,הנדסת תעשייה וניהול,חצי ריאלי חצי הומני,הקורסים משעממים.,רמת הוראה בסיסית מבחנים ברמה גבוהה,"זה לא כזה קל כמו שחושבים, אפילו די קשה.",8,1.0,9.0,8
